,classification,keyed_name,id,created_on,created_by_id,owned_by_id,managed_by_id,modified_on,modified_by_id,current_state,state,locked_by_id,is_current,major_rev,minor_rev,is_released,not_lockable,css,generation,new_version,config_id,permission_id,source_id,behavior,team_id,external_id,external_owner,external_type,quantity,reference_designator,related_id,sort_order
10,,0853372EFEFC4CEFADFF6B62A0E95EDC,0853372EFEFC4CEFADFF6B62A0E95EDC,2017-10-24 19:09:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-10-24 19:09:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,,1,A,,0,0,,1,1,0853372EFEFC4CEFADFF6B62A0E95EDC,95475AE006E7415794BDC93808DC04D2,39CB2792B428432490200368B87DE9CA,hard_fixed,,,SofTech.Mechanical.SolidWorks,,2,,6494C1D1DCCA426A961368F53DDCA553,100
11,,09C6FB78C41F4DDBA84232D187EC2D62,09C6FB78C41F4DDBA84232D187EC2D62,2017-10-24 19:09:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-10-24 19:09:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,,1,A,,0,0,,1,1,09C6FB78C41F4DDBA84232D187EC2D62,95475AE006E7415794BDC93808DC04D2,B9F8E908144948E48A1747AD88716D02,hard_fixed,,,SofTech.Mechanical.SolidWorks,,1,,6020DB29814C4D838E60D315A1C95E8C,30
12,,0CAF179A13AF4F15BDBD2BB9BC446279,0CAF179A13AF4F15BDBD2BB9BC446279,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,,1,A,,0,0,,1,1,0CAF179A13AF4F15BDBD2BB9BC446279,95475AE006E7415794BDC93808DC04D2,83890B1872744031BBB8EC2DBC37D5C6,fixed,,,,,3,"R113, R114, R115",03DCBD82677B410491495758318D96DB,100
13,,0EA976AAE1EE4F139B4A1E008964189A,0EA976AAE1EE4F139B4A1E008964189A,2017-10-24 19:09:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-10-24 19:09:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,,1,A,,0,0,,1,1,0EA976AAE1EE4F139B4A1E008964189A,95475AE006E7415794BDC93808DC04D2,BC5AF2203F90411999247B1C99379588,hard_fixed,,,SofTech.Mechanical.SolidWorks,,1,,7B2E1053EAF4424289FE4E6BA612A525,35
14,,0F46EE6B86C44355BD3AA3E20620082E,0F46EE6B86C44355BD3AA3E20620082E,2017-10-24 19:09:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-10-24 19:09:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,,1,A,,0,0,,1,1,0F46EE6B86C44355BD3AA3E20620082E,95475AE006E7415794BDC93808DC04D2,6D511886B1E946CC9C5E78C29D2D8383,fixed,,,SofTech.Mechanical.SolidWorks,,6,,9984D6FD199046A59C5B1D62D0569B55,15
15,,0F66CD1CEE194AB48F58339DA10E552C,0F66CD1CEE194AB48F58339DA10E552C,2017-10-24 19:09:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-10-24 19:09:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,,1,A,,0,0,,1,1,0F66CD1CEE194AB48F58339DA10E552C,95475AE006E7415794BDC93808DC04D2,052B70BA995D47CF834EF103CCE0D85E,fixed,,,SofTech.Mechanical.SolidWorks,,2,,272D01E1DB72482DBDDE21293D13474F,25
16,,1085E23A5B914059AC3B922A7923D767,1085E23A5B914059AC3B922A7923D767,2017-10-24 19:09:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-10-24 19:09:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,,1,A,,0,0,,1,1,1085E23A5B914059AC3B922A7923D767,95475AE006E7415794BDC93808DC04D2,7B2E1053EAF4424289FE4E6BA612A525,fixed,,,SofTech.Mechanical.SolidWorks,,1,,FF582F00C8D140D28E19A92C1790BF68,15
17,,111FB7A5104D492B9A25D75E9CF474FC,111FB7A5104D492B9A25D75E9CF474FC,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,,1,A,,0,0,,1,1,111FB7A5104D492B9A25D75E9CF474FC,95475AE006E7415794BDC93808DC04D2,83890B1872744031BBB8EC2DBC37D5C6,fixed,,,,,1,PCB,799A51B95676484691318B717A02B680,5
18,,131D9C09A1A24F99A87F200C99149857,131D9C09A1A24F99A87F200C99149857,2021-03-15 21:03:10.907,AD30A6D8D3B642F5A2AFED1A4B02BEFA,,,2021-03-15 21:03:10.943,AD30A6D8D3B642F5A2AFED1A4B02BEFA,,,,1,A,,0,0,,1,1,131D9C09A1A24F99A87F200C99149857,5C07EB829D4241F6BB884952960FAF58,9B902DB0F7D0400DB778A54CF32683E2,float,,,SofTech.Mechanical.SolidWorks,,1,,5F750EA8888A402B831E8EEE6339812E,35
19,,1364C128F2F7495AA9F7F3C1F888DDAB,1364C128F2F7495AA9F7F3C1F888DDAB,2017-10-24 19:09:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-10-24 19:09:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,,1,A,,0,0,,1,1,1364C128F2F7495AA9F7F3C1F888DDAB,95475AE006E7415794BDC93808DC04D2,39CB2792B428432490200368B87DE9CA,hard_fixed,,,SofTech.Mechanical.SolidWorks,,2,,CF708C83692C4113908F9EEC64BEAE59,85
