,classification,keyed_name,id,created_on,created_by_id,owned_by_id,managed_by_id,modified_on,modified_by_id,current_state,locked_by_id,is_current,major_rev,minor_rev,is_released,not_lockable,css,generation,new_version,config_id,permission_id,team_id,description,has_files,item_number,name,unit,unit_price,state,manufacturer,ce_latest_datasheet,ce_mfr_name,ce_object_id,ce_source,ce_mfr_part_number,indexed_on
10,,"XC7WH14DC,125",149F0F2D1AF646E6AEE59A65D310DDD4,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,149F0F2D1AF646E6AEE59A65D310DDD4,49B8F2B903D04A84AEA00050636514B9,,XC7WH14 Triple inverting Schmitt trigger,0,"XC7WH14DC,125",,,,Released,523B8E8F0CB24C33B487A53601BFEE13,,,1122323105,1,"XC7WH14DC,125",
11,,PBRC16.00HR50X0RZ,161966A3A2584277BAF65143891A8CCB,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,161966A3A2584277BAF65143891A8CCB,49B8F2B903D04A84AEA00050636514B9,,MHz Band Ceramic Chip Resonators (SMD) PBRC-H / PBRC-M Series,0,PBRC16.00HR50X0RZ,,,,Released,70157908D11F4C92893E4C655B3E8CC2,,,2087520768,1,PBRC16.00HR50X0RZ,
12,,232271111682L,16C7A6ED7D3D4092950B269B4E1AC34E,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,16C7A6ED7D3D4092950B269B4E1AC34E,49B8F2B903D04A84AEA00050636514B9,,Resistor SMT 6.8K 5% 1/4W,0,232271111682L,,,,Released,DAAB81FC241A4EC389394EE73F35C5AA,,,1281494315,1,232271111682L,
13,,MCR03MZPFX4990,1A49B1E0C7E844779239156F4950E312,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,1A49B1E0C7E844779239156F4950E312,49B8F2B903D04A84AEA00050636514B9,,Thick Film Chip Resistors MCR Series < Automotive >,0,MCR03MZPFX4990,,,,Released,942D5E4A8C9C464CAA7FD5ED389DAD68,,,1182984892,1,MCR03MZPFX4990,
14,,91290A117,22A8E001DE3945FFBE4CC8CE58355F56,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,22A8E001DE3945FFBE4CC8CE58355F56,49B8F2B903D04A84AEA00050636514B9,,"Black-Oxide Class 12.9 Socket Head Cap Screw, Alloy Steel, M3 Thread, 12mm Length, 0.50mm Pitch",0,91290A117,,,,Released,61B48A7111E64519AB7D98099DF48701,,,,,,
15,,ST7066U-0B,268D809E6A8D4A1CA472F361E5504A9D,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,268D809E6A8D4A1CA472F361E5504A9D,49B8F2B903D04A84AEA00050636514B9,,"LIQUID CRYSTAL DISPLAY DRIVER, PQFP80",0,ST7066U-0B,,,,Released,6C341CF173AC429C965C148CAF5456E2,,,1221198443,1,ST7066U-0B,
16,,93395A217,29CE613E40874FB4A3C8F93936A5027F,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,29CE613E40874FB4A3C8F93936A5027F,49B8F2B903D04A84AEA00050636514B9,,"Type 316 Stainless Steel Flat-Head Socket Cap Screw, M3 Size, 30mm Length, .50mm Pitch",0,93395A217,,,,Released,61B48A7111E64519AB7D98099DF48701,,,,,,
17,,PF0805JRF070R05L,29DBD2D04F5E4D4EABAA308DB7319DA7,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,29DBD2D04F5E4D4EABAA308DB7319DA7,49B8F2B903D04A84AEA00050636514B9,,Resistor 0ohms 5% 1/1W,0,PF0805JRF070R05L,,,,Released,DAAB81FC241A4EC389394EE73F35C5AA,,,1251354372,1,PF0805JRF070R05L,
18,,93395A207,2C1EB90B8CEF4A29B62A6F73832A8D62,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,2C1EB90B8CEF4A29B62A6F73832A8D62,49B8F2B903D04A84AEA00050636514B9,,"Type 316 Stainless Steel Flat-Head Socket Cap Screw, M3 Size, 12mm Length, .50mm Pitch",0,93395A207,,,,Released,61B48A7111E64519AB7D98099DF48701,,,,,,
19,,91290A115,31C60E9EC8314B25BF29C5FD8D4840B1,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,C363ABDADF8D485393BB89877DBDCFD0,,1,A,,1,0,,1,1,31C60E9EC8314B25BF29C5FD8D4840B1,49B8F2B903D04A84AEA00050636514B9,,"Black-Oxide Class 12.9 Socket Head Cap Screw, Alloy Steel, M3 Thread, 10mm Length, 0.50mm Pitch",0,91290A115,,,,Released,61B48A7111E64519AB7D98099DF48701,,,,,,
