,keyed_name,id,created_on,created_by_id,owned_by_id,managed_by_id,modified_on,modified_by_id,current_state,state,locked_by_id,is_current,major_rev,minor_rev,is_released,not_lockable,css,generation,new_version,config_id,permission_id,source_id,behavior,team_id,attached_file,comments,external_id,external_owner,external_type,related_id,classification,sort_order
10,612E711FCB1541DEBD27FA535ECCEA4E,612E711FCB1541DEBD27FA535ECCEA4E,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,,1,A,,0,0,,1,1,612E711FCB1541DEBD27FA535ECCEA4E,BADFEE81D2844845BDDAEA8CB663281E,910F64BDC5AD4236BCF1B2593DCE131F,fixed,,7B1CC74190C04144BD976A85A36D08C6,Drill plots,,,,,Electronic/Fabrication/Drill,256
11,6D6596BE619E402F8EB23B768DACDF66,6D6596BE619E402F8EB23B768DACDF66,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,,1,A,,0,0,,1,1,6D6596BE619E402F8EB23B768DACDF66,BADFEE81D2844845BDDAEA8CB663281E,2DF2779A61CC4C34BB72FD458E034C15,fixed,,01D6BD83AE2D4E6CAF7ACDC4DB8CDEF3,Native layout DB,,,,,Electronic/Physical/Native,128
12,71D7D289A4AB4F849009B3ECC3B6919F,71D7D289A4AB4F849009B3ECC3B6919F,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,,1,A,,0,0,,1,1,71D7D289A4AB4F849009B3ECC3B6919F,BADFEE81D2844845BDDAEA8CB663281E,28ADA1490E144D78AFC0522CB3F55982,fixed,,5F90966406954E01BA43DE178CE50BB1,BOM report,,,,,Electronic/Assembly/Documentation,256
13,8CA44A9762674271B5E1668E3ABEFAD1,8CA44A9762674271B5E1668E3ABEFAD1,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,,1,A,,0,0,,1,1,8CA44A9762674271B5E1668E3ABEFAD1,BADFEE81D2844845BDDAEA8CB663281E,66F9AE446F5E49E3A92CB15029837F09,fixed,,D7E54985571B40A5B885F4FA84CDC09E,BOM report,,,,,Electronic/Assembly/Documentation,128
14,9BE69AEA86FD4F749EBFC8BF7651FC60,9BE69AEA86FD4F749EBFC8BF7651FC60,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,,1,A,,0,0,,1,1,9BE69AEA86FD4F749EBFC8BF7651FC60,BADFEE81D2844845BDDAEA8CB663281E,7C6432E01B194B1791F12B554F24D3AE,fixed,,E571D9A6FA2148839E3EC8C89C1604BE,Schematic viewables,,,,,Electronic/Logical/Viewable,256
15,BD4E2169C88A48C4AD521672A4A5A6C2,BD4E2169C88A48C4AD521672A4A5A6C2,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,,1,A,,0,0,,1,1,BD4E2169C88A48C4AD521672A4A5A6C2,BADFEE81D2844845BDDAEA8CB663281E,4EF2125AE98049C38DDB121238C2B6A3,fixed,,7FF897A5D0034A5485CBBEBF5A7CFC90,Copper images,,,,,Electronic/Fabrication/Viewable,128
16,C004FF5E2D4E47CC9768A4B212C354F1,C004FF5E2D4E47CC9768A4B212C354F1,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,,1,A,,0,0,,1,1,C004FF5E2D4E47CC9768A4B212C354F1,BADFEE81D2844845BDDAEA8CB663281E,B004D212839B4F1887C62023D007520D,fixed,,A2E2BF23842748C8974EA2E6356825DB,NC Drill,,,,,Electronic/Fabrication/Drill,384
17,C4D29C311C8F41B390CBDD9BF3977C28,C4D29C311C8F41B390CBDD9BF3977C28,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,,1,A,,0,0,,1,1,C4D29C311C8F41B390CBDD9BF3977C28,BADFEE81D2844845BDDAEA8CB663281E,ED591E3B7AB54BFA831E5CA73BBD4563,fixed,,05BDD326E5214675A9B16C35B3D14212,Schematic viewables,,,,,Electronic/Logical/Viewable,128
18,D714E7344EFD4B71AA5553FA1E5C568F,D714E7344EFD4B71AA5553FA1E5C568F,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,,1,A,,0,0,,1,1,D714E7344EFD4B71AA5553FA1E5C568F,BADFEE81D2844845BDDAEA8CB663281E,910F64BDC5AD4236BCF1B2593DCE131F,fixed,,3B9AD9298F6F4F7594C233821AD694E1,Top legend mask,,,,,Electronic/Fabrication/Viewable,512
19,D984538AAEB14F1AA77C125D72D39AC8,D984538AAEB14F1AA77C125D72D39AC8,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,,1,A,,0,0,,1,1,D984538AAEB14F1AA77C125D72D39AC8,BADFEE81D2844845BDDAEA8CB663281E,28ADA1490E144D78AFC0522CB3F55982,fixed,,6B9FC5A474D4434D9487BE03D38AC063,Assembly drawings,,,,,Electronic/Assembly/Drawing,128
20,E06E0D71CDDF4285A478660C38AE06CC,E06E0D71CDDF4285A478660C38AE06CC,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,,1,A,,0,0,,1,1,E06E0D71CDDF4285A478660C38AE06CC,BADFEE81D2844845BDDAEA8CB663281E,6DA925B76AD5454C8D3AFDE5264B64A4,fixed,,D0F1DCB31B13496CB2E76F96368EE4D9,Assembly drawings,,,,,Electronic/Assembly/Placement,128
21,E1F23322B89642189F2DB67BEBA9D858,E1F23322B89642189F2DB67BEBA9D858,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,,1,A,,0,0,,1,1,E1F23322B89642189F2DB67BEBA9D858,BADFEE81D2844845BDDAEA8CB663281E,B004D212839B4F1887C62023D007520D,fixed,,9CF1FC8BB1724C7FB15CDC3C54B983C6,Material stack,,,,,Electronic/Fabrication/Stackup,512
22,E5B6356F77DE4A3FB2F33BB600C4BE6D,E5B6356F77DE4A3FB2F33BB600C4BE6D,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,,1,A,,0,0,,1,1,E5B6356F77DE4A3FB2F33BB600C4BE6D,BADFEE81D2844845BDDAEA8CB663281E,7C6432E01B194B1791F12B554F24D3AE,fixed,,308E5A66F7524AF39A8F36ACBB989EAD,Native schematic & layout DB,,,,,Electronic/Design/Native,128
23,FACA9AF6D7D4462F81C0DB0E8764007A,FACA9AF6D7D4462F81C0DB0E8764007A,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,,1,A,,0,0,,1,1,FACA9AF6D7D4462F81C0DB0E8764007A,BADFEE81D2844845BDDAEA8CB663281E,124EA75032174EA69623315B9C051DF3,fixed,,ED4C8373E75940E2B5B8F5FB2AB88694,BOM report,,,,,Electronic/Assembly/Documentation,256
24,FB4E61FF9CBF4A4DB816704EFD489B32,FB4E61FF9CBF4A4DB816704EFD489B32,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,,1,A,,0,0,,1,1,FB4E61FF9CBF4A4DB816704EFD489B32,BADFEE81D2844845BDDAEA8CB663281E,910F64BDC5AD4236BCF1B2593DCE131F,fixed,,14F9DA3DE2574CAFB1B537E6C0595909,Board shape drawing,,,,,Electronic/Fabrication/Drawing,384
