,classification,keyed_name,id,created_on,created_by_id,owned_by_id,managed_by_id,modified_on,modified_by_id,current_state,locked_by_id,is_current,major_rev,minor_rev,is_released,not_lockable,css,generation,new_version,config_id,permission_id,team_id,address,address_state,city,contact_name,country,description,main_fax,main_phone,web_site,zip_code,name,state,ce_mfr_add_city,ce_mfr_add_state,ce_mfr_add_zip,ce_mfr_add1,ce_mfr_add2,ce_mfr_add3,ce_mfr_add4,ce_mfr_business_status,ce_mfr_cage_code,ce_mfr_code,ce_mfr_comments,ce_mfr_content_coverage,ce_mfr_fax,ce_mfr_name,ce_mfr_phone,ce_mfr_region,ce_mfr_site,ce_mfr_status,ce_object_id,ce_short_mfr_name,ce_source,ce_sync_date,indexed_on
10,,KYCON INC,5A9204F02C78400385DFDCC6C3534AE5,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,5A9204F02C78400385DFDCC6C3534AE5,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,KYCON INC,Preliminary,,,,,,,,,,,,,,KYCON INC,,,,,1816526248,,1,,
11,,McMaster-Carr Supply Company,61B48A7111E64519AB7D98099DF48701,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,61B48A7111E64519AB7D98099DF48701,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,McMaster-Carr Supply Company,Preliminary,,,,,,,,,,,,,,,,,,,,,,,
12,,SITRONIX TECHNOLOGY CO LTD,6C341CF173AC429C965C148CAF5456E2,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,6C341CF173AC429C965C148CAF5456E2,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,SITRONIX TECHNOLOGY CO LTD,Preliminary,,,,,,,,,,,,,,SITRONIX TECHNOLOGY CO LTD,,,,,1126210020,,1,,
13,,FAIRCHILD SEMICONDUCTOR CORP,6FB1A02EAD954A36B8518F8B44074FAA,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,6FB1A02EAD954A36B8518F8B44074FAA,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,FAIRCHILD SEMICONDUCTOR CORP,Preliminary,,,,,,,,,,,,,,FAIRCHILD SEMICONDUCTOR CORP,,,,,1424806112,,1,,
14,,AVX CORP,70157908D11F4C92893E4C655B3E8CC2,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,70157908D11F4C92893E4C655B3E8CC2,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,AVX CORP,Preliminary,,,,,,,,,,,,,,AVX CORP,,,,,1400449875,,1,,
15,,WIN WIN PRECISION INDUSTRIAL CO LTD,7F68A8DCEA9F46A3B79DDDAAD2D800B7,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,7F68A8DCEA9F46A3B79DDDAAD2D800B7,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,WIN WIN PRECISION INDUSTRIAL CO LTD,Preliminary,,,,,,,,,,,,,,WIN WIN PRECISION INDUSTRIAL CO LTD,,,,,1846258037,,1,,
16,,POWER DYNAMICS INC,813105F85F95451FA04FEA7DB61EBA5E,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,813105F85F95451FA04FEA7DB61EBA5E,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,POWER DYNAMICS INC,Preliminary,,,,,,,,,,,,,,POWER DYNAMICS INC,,,,,1402940692,,1,,
17,,NATIONAL SEMICONDUCTOR CORP,86156A4857254BAEBF74F5CA7CEA99B4,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,86156A4857254BAEBF74F5CA7CEA99B4,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,NATIONAL SEMICONDUCTOR CORP,Preliminary,,,,,,,,,,,,,,NATIONAL SEMICONDUCTOR CORP,,,,,1400449960,,1,,
18,,ROHM CO LTD,942D5E4A8C9C464CAA7FD5ED389DAD68,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,942D5E4A8C9C464CAA7FD5ED389DAD68,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,ROHM CO LTD,Preliminary,,,,,,,,,,,,,,ROHM CO LTD,,,,,1400449981,,1,,
19,,MORETHANALL CO LTD,9752A13EDA66411C89CA42A45CC313EB,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,9752A13EDA66411C89CA42A45CC313EB,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,MORETHANALL CO LTD,Preliminary,,,,,,,,,,,,,,MORETHANALL CO LTD,,,,,1846258020,,1,,
20,,SAMTEC INC,9B6DA7934D76442C901CA46AB3907FB7,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,9B6DA7934D76442C901CA46AB3907FB7,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,SAMTEC INC,Preliminary,,,,,,,,,,,,,,SAMTEC INC,,,,,1404772080,,1,,
21,,TEXAS INSTRUMENTS INC,A6A2DDC1DE704C0497CE2909CD8810AC,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,A6A2DDC1DE704C0497CE2909CD8810AC,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,TEXAS INSTRUMENTS INC,Preliminary,,,,,,,,,,,,,,TEXAS INSTRUMENTS INC,,,,,1400450003,,1,,
22,,LUMEX INC,B59F1D2712C64610840CB0055D748AEA,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,B59F1D2712C64610840CB0055D748AEA,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,LUMEX INC,Preliminary,,,,,,,,,,,,,,LUMEX INC,,,,,1424790568,,1,,
23,,PANASONIC CORP,BFFCC27A2A804CED8C94B7D7A9DF1D49,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,BFFCC27A2A804CED8C94B7D7A9DF1D49,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,PANASONIC CORP,Preliminary,,,,,,,,,,,,,,PANASONIC CORP,,,,,1400449968,,1,,
24,,"Guangzhou GDS Electronics Technology CO.,LTD",C1B6EE38D51A43E4BA877A093064B22E,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,C1B6EE38D51A43E4BA877A093064B22E,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,"Guangzhou GDS Electronics Technology CO.,LTD",Preliminary,,,,,,,,,,,,,,,,,,,,,,,
25,,PHOENIX CONTACT GMBH & CO KG,C87F8A76F4394D7B99A4F5E4C4C35F2B,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,C87F8A76F4394D7B99A4F5E4C4C35F2B,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,PHOENIX CONTACT GMBH & CO KG,Preliminary,,,,,,,,,,,,,,PHOENIX CONTACT GMBH & CO KG,,,,,1431828870,,1,,
26,,MICROCHIP TECHNOLOGY INC,CC4527473D6A499DA9B07ED3C36E6C18,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,CC4527473D6A499DA9B07ED3C36E6C18,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,MICROCHIP TECHNOLOGY INC,Preliminary,,,,,,,,,,,,,,MICROCHIP TECHNOLOGY INC,,,,,1400449947,,1,,
27,,YAGEO CORP,DAAB81FC241A4EC389394EE73F35C5AA,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,DAAB81FC241A4EC389394EE73F35C5AA,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,YAGEO CORP,Preliminary,,,,,,,,,,,,,,YAGEO CORP,,,,,1416482558,,1,,
28,,METHODE ELECTRONICS INC,E54C6AA9D8FE4CB0BE993D1FB3650EB9,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,E54C6AA9D8FE4CB0BE993D1FB3650EB9,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,METHODE ELECTRONICS INC,Preliminary,,,,,,,,,,,,,,METHODE ELECTRONICS INC,,,,,1408786199,,1,,
29,,MOLEX INC,EADDE22370354EE1BE9AA4C69FE1D660,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,EADDE22370354EE1BE9AA4C69FE1D660,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,MOLEX INC,Preliminary,,,,,,,,,,,,,,MOLEX INC,,,,,1404772052,,1,,
30,,LITTELFUSE INC,ED33DA6AA68744EF93A790F9BAE97A5A,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,ED33DA6AA68744EF93A790F9BAE97A5A,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,LITTELFUSE INC,Preliminary,,,,,,,,,,,,,,LITTELFUSE INC,,,,,1425960368,,1,,
31,,ALLEGRO MICROSYSTEMS LLC,F5095ED8D6254FB5AFD126562E227244,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,F5095ED8D6254FB5AFD126562E227244,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,ALLEGRO MICROSYSTEMS LLC,Preliminary,,,,,,,,,,,,,,ALLEGRO MICROSYSTEMS LLC,,,,,1402324195,,1,,
32,,VISHAY INTERTECHNOLOGY INC,F74C0FDEAAB7450EAFD17844874D6445,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,F74C0FDEAAB7450EAFD17844874D6445,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,VISHAY INTERTECHNOLOGY INC,Preliminary,,,,,,,,,,,,,,VISHAY INTERTECHNOLOGY INC,,,,,1402501487,,1,,
33,,RADIALL S A,FB61D47BAECA497CAE9079352B699F43,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,,,2017-10-01 12:00:00.000,D46AD795615F4BA182384FAF30422C9E,B55670F8973A4911A9B98AD96AAFE210,,1,A,,0,0,,1,1,FB61D47BAECA497CAE9079352B699F43,A8FC3EC44ED0462B9A32D4564FAC0AD8,,,,,,,,,,,,RADIALL S A,Preliminary,,,,,,,,,,,,,,RADIALL S A,,,,,1416687458,,1,,
